cities,population
Summerville,"50,388"

Collierville,"50,286"

Methuen,"50,259"

Lakewood,"50,249"

Enid,"50,122"

Poway,"50,041"

Smyrna,"49,969"

Azusa,"49,864"

Stillwater,"49,829"

Wylie,"49,826"

Lacey,"49,748"

Dunwoody,"49,609"

Troy,"49,565"

Downers Grove,"49,540"

Bedford,"49,486"

Newark,"49,423"

Wilson,"49,348"

Bentonville,"49,298"

Murray,"49,295"

Cuyahoga Falls,"49,247"

Leander,"49,234"

Twin Falls,"49,202"

Harrisburg,"49,192"

Mishawaka,"49,177"

La Mirada,"49,095"

Cypress,"49,064"

St. Louis Park,"49,029"

Madison,"48,861"

East Lansing,"48,844"

Middletown,"48,823"

Portage,"48,816"

Kannapolis,"48,806"

Rancho Santa Margarita,"48,793"

Cedar Hill,"48,710"

Lawrence,"48,704"

Ceres,"48,697"

Saginaw,"48,677"

Texas City,"48,558"

Covina,"48,462"

Niagara Falls,"48,460"

Monroe,"48,371"

Sheboygan,"48,329"

Wauwatosa,"48,277"

San Jacinto,"48,254"

Palm Springs,"48,142"

Charlottesville,"48,019"

Maricopa,"48,007"

Charleston,"47,929"

Minot,"47,822"

Roswell,"47,775"

Littleton,"47,734"

Draper,"47,710"

Lincoln,"47,674"

Glenview,"47,659"

Dublin,"47,619"

East Providence,"47,600"

Chesterfield,"47,588"

San Luis Obispo,"47,541"

Newark,"47,531"

Roseville,"47,501"

Jeffersonville,"47,383"

Alexandria,"47,334"

Keller,"47,266"

Euclid,"47,201"

Columbus,"47,143"

Mentor,"47,121"

Huntington,"47,079"

Salina,"46,994"

Beaumont,"46,967"

Beavercreek,"46,948"

Elmhurst,"46,662"

Bozeman,"46,596"

Little Elm,"46,548"

Middletown,"46,478"

Ocoee,"46,402"

Hattiesburg,"46,377"

Everett,"46,324"

West Lafayette,"46,269"

Titusville,"46,263"

Mansfield,"46,160"

Burleson,"46,145"

Biloxi,"45,908"

Fort Pierce,"45,581"

Bothell,"45,533"

Farmington,"45,450"

Coachella,"45,443"

Sayreville,"45,325"

Hackensack,"45,248"

Binghamton,"45,179"

Cutler Bay,"45,101"

Morgan Hill,"45,037"

Oakland Park,"45,035"

Marana,"44,792"

Danville,"44,786"

Strongsville,"44,744"

Attleboro,"44,590"

Blacksburg,"44,563"

Cleveland Heights,"44,562"

Cleveland,"44,483"

Prescott Valley,"44,466"

Haltom City,"44,417"

El Centro,"44,364"

Oro Valley,"44,350"

Altamonte Springs,"44,277"

Rockwall,"44,208"

North Lauderdale,"44,198"

Barnstable Town,"44,163"

York,"44,132"

North Miami Beach,"44,124"

Bountiful,"44,107"

Altoona,"44,098"

Plainfield,"43,926"

Lombard,"43,745"

Urbandale,"43,592"

Lompoc,"43,542"

Winter Garden,"43,536"

Freeport,"43,508"

Kyle,"43,480"

Salem,"43,415"

Riverton,"43,344"

San Bruno,"43,299"

Peachtree Corners,"43,268"

DeKalb,"43,193"

Moorhead,"43,122"

Linden,"43,056"

Concord,"43,019"

Pine Bluff,"42,984"

Sierra Vista,"42,912"

Jefferson City,"42,895"

Rohnert Park,"42,838"

Ormond Beach,"42,816"

Fond du Lac,"42,809"

Brea,"42,777"

Bell Gardens,"42,747"

Prescott,"42,731"

The Colony,"42,721"

Kearny,"42,670"

Brentwood,"42,667"

Goose Creek,"42,619"

Pittsfield,"42,591"

Fairfield,"42,566"

State College,"42,430"

Rancho Palos Verdes,"42,364"

Wake Forest,"42,269"

Mankato,"42,264"

Burlington,"42,239"

Moline,"42,231"

Edmonds,"42,209"

Urbana,"41,989"

Midland,"41,950"

Coppell,"41,941"

